여행지 id,여행지명칭,분류,태그,지역구분,주소,여행지 경도,여행지 위도
TRAVEL_004840,선암사[유네스코 세계문화유산],관광지,문화유적,전남,전라남도 순천시 승주읍 선암사길 450(승주읍),127.3311361,34.99657941
TRAVEL_004841,선암호수공원,관광지,공원,울산,울산광역시 남구 선암호수길 104(선암동),129.3260724,35.51704008
TRAVEL_004842,선운사(고창),관광지,문화유적,전북,전라북도 고창군 아산면 선운사로 250(아산면),126.578004,35.49585464
TRAVEL_004843,선운산호텔,숙박,호텔,전북,전라북도 고창군 아산면 중촌길 21,126.5849948,35.50370664
TRAVEL_004844,선유도 월명유람선,체험,기타레저,전북,전라북도 군산시 비응로 6(비응도동),126.4131273,35.81654593
TRAVEL_004845,선유도해수욕장 (명사십리 해수욕장),체험,기타레저,전북,전라북도 군산시 옥도면 선유도1길 106-2,126.413029,35.822979
TRAVEL_004846,선재도,관광지,섬,인천,인천광역시 옹진군 영흥면 선재로34번길 101,126.5376093,37.23485439
TRAVEL_004847,선재도바다풍경,숙박,펜션,인천,인천광역시 옹진군 영흥면 선재로170번안길 42-14,126.5292653,37.24506973
TRAVEL_004848,선학동 마을,관광지,기타관광지,전남,전라남도 장흥군 회진면 가학회진로 1212,126.9404336,34.46222167
TRAVEL_004849,선흘곶자왈 (제주도 국가지질공원),관광지,기타관광지,제주,제주특별자치도 제주시 한경면 녹차분재로 594-1(한경면),126.263297,33.32258195
TRAVEL_004850,설리 해수욕장,체험,기타레저,경남,경상남도 남해군 미조면 미송로303번길 70(미조면),128.0255438,34.70559908
TRAVEL_004851,설악 워터피아,체험,기타레저,강원,강원도 속초시 미시령로2983번길 88(장사동),128.5273582,38.20804465
TRAVEL_004852,설악산 권금성,관광지,기타관광지,강원,강원도 속초시 설악산로 1091(설악동),128.4935626,38.16649883
TRAVEL_004853,설악산 케이블카,관광지,기타관광지,강원,강원도 속초시 설악산로 1085(설악동),128.4890711,38.17305354
TRAVEL_004854,설악산국립공원(외설악),관광지,기타관광지,강원,강원도 속초시  설악산로 833 (설악동),128.517032,38.167293
TRAVEL_004855,설악산자생식물원,관광지,기타관광지,강원,강원도 속초시 바람꽃마을길 164(노학동),128.5250449,38.19700978
TRAVEL_004856,섬의 날 기념 『대한민국 썸 페스티벌』,관광지,축제/행사,전남,전라남도 목포시 삼학로92번길 98(산정동),126.38893,34.78201
TRAVEL_004857,섬이정원,관광지,기타관광지,경남,경상남도 남해군 남면 남면로 1534-110,127.8606792,34.75225765
TRAVEL_004858,섭지코지,관광지,기타관광지,제주,제주특별자치도 서귀포시 성산읍 섭지코지로 107,126.9304507,33.42382584
TRAVEL_004859,성류굴 (경북 동해안 국가지질공원),관광지,기타관광지,경북,경상북도 울진군 근남면 성류굴로 225(근남면),129.3808089,36.95556414
TRAVEL_004860,성산일출봉 [유네스코 세계자연유산],관광지,기타관광지,제주,제주특별자치도 서귀포시 성산읍 일출로 284-12,126.9415156,33.45811112
TRAVEL_004861,성산포유람선,관광지,체험프로그램,제주,제주특별자치도 서귀포시 성산읍 성산등용로 112-7,126.9337909,33.47328709
TRAVEL_004862,성은낚시터,체험,기타레저,경기,경기도 안성시 원곡면 통심길 16-46(원곡면),127.1678567,37.07047899
TRAVEL_004863,성읍민속마을,관광지,기타관광지,제주,제주특별자치도 서귀포시 표선면 성읍정의현로 19,126.8004378,33.3845003
TRAVEL_004864,성이시돌목장,관광지,기타관광지,제주,제주특별자치도 제주시 한림읍 금악동길 35,126.3267464,33.35016878
TRAVEL_004865,"성인봉 원시림 (울릉도, 독도 국가지질공원)",관광지,공원,경북,경북 울릉군 북면 나리 산 44-1,130.868431,37.505398
TRAVEL_004866,성일집,음식점,기타,부산,부산광역시 중구 대교로 103,129.0375008,35.09942876
TRAVEL_004867,성주산자연휴양림,관광지,기타관광지,충남,충청남도 보령시 성주면 화장골길 57-228(성주면),126.664022,36.33257174
TRAVEL_004868,성진회관,음식점,기타,강원,강원도 고성군 거진읍 거탄진로 99,128.4533548,38.44409624
TRAVEL_004869,성호공원,관광지,공원,경기,경기도 안산시 상록구 성호로 131(이동),126.8598445,37.31445361
TRAVEL_004870,성호박물관,관광지,전시관,경기,경기도 안산시 상록구 성호로 131(이동),126.8595667,37.31506187
TRAVEL_004871,세방낙조 전망대,관광지,전망대/조망시설,전남,전남 진도군 지산면 가학리 183-1,126.104607,34.440493
TRAVEL_004872,세인트존스 호텔,숙박,호텔,강원,강원도 강릉시 창해로 307,128.9186301,37.7940781
TRAVEL_004873,"세화민속오일시장(5일, 0일)",쇼핑,어시장,제주,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,126.8573408,33.52617723
TRAVEL_004874,소낭구펜션[한국관광 품질인증/Korea Quality],숙박,펜션,경남,경상남도 거제시 일운면 마전1길 83(일운면),128.7250874,34.85125081
TRAVEL_004875,소노벨 거제 마리나베이 요트투어,체험,기타레저,경남,경상남도 거제시 일운면 거제대로 2660(일운면),128.7025479,34.8434846
TRAVEL_004876,소노벨 변산(구 대명리조트 변산),숙박,리조트/콘도,전북,전라북도 부안군 변산면 변산해변로 51,126.4699824,35.63140131
